nl,ml
25-Jul-93,1993/7/25
10-Jun-70,1970/6/10
august 29 1980,1980/8/29
28-Jun-02,2002/6/28
6-Dec-06,2006/12/6
8/14/00,2000/8/14
9-Jul-97,1997/7/9
saturday august 22 1970,1970/8/22
tuesday march 30 2004,2004/3/30
monday december 4 1989,1989/12/4
october 11 1972,1972/10/11
friday june 6 2008,2008/6/6
wednesday may 20 1992,1992/5/20
monday may 26 2003,2003/5/26
sunday may 16 1982,1982/5/16
13-Nov-90,1990/11/13
thursday october 7 1999,1999/10/7
13-Dec-11,2011/12/13
wednesday september 7 2016,2016/9/7
12-May-15,2015/5/12
aug 19 2014,2014/8/19
april 16 2005,2005/4/16
19.08.12,2012/8/19
thursday august 11 2005,2005/8/11
thursday march 6 2008,2008/3/6
february 25 1984,1984/2/25
friday june 20 2014,2014/6/20
29-Jan-74,1974/1/29
tuesday august 25 2015,2015/8/25
march 27 1976,1976/3/27
11-Jan-72,1972/1/11
7/21/00,2000/7/21
monday august 17 1998,1998/8/17
feb 5 2012,2012/2/5
11-Jul-07,2007/7/11
sunday october 7 2007,2007/10/7
5/24/78,1978/5/24
sunday october 21 1990,1990/10/21
11-Sep-79,1979/9/11
thursday february 22 1979,1979/2/22
24-Jul-04,2004/7/24
may 18 2006,2006/5/18
2/14/92,1992/2/14
12-Sep-93,1993/9/12
saturday july 5 2008,2008/7/5
16-Aug-84,1984/8/16
jan 29 1987,1987/1/29
saturday february 15 1975,1975/2/15
10-Feb-75,1975/2/10
19-Sep-74,1974/9/19
wednesday september 18 2002,2002/9/18
tuesday december 19 1989,1989/12/19
sunday august 1 1976,1976/8/1
tuesday august 17 1976,1976/8/17
21-Jan-13,2013/1/21
feb 3 1978,1978/2/3
wednesday september 14 1977,1977/9/14
27.08.71,1971/8/27
23-Nov-72,1972/11/23
saturday may 14 2005,2005/5/14
19-May-81,1981/5/19
30-Jul-01,2001/7/30
18 11 06,2006/11/18
apr 14 2001,2001/4/14
sunday july 20 2003,2003/7/20
tuesday july 31 1990,1990/7/31
friday november 16 1984,1984/11/16
monday july 14 1980,1980/7/14
14 11 00,2000/11/14
27-Mar-79,1979/3/27
16-Apr-77,1977/4/16
monday august 6 2012,2012/8/6
sunday march 25 2012,2012/3/25
saturday may 31 1997,1997/5/31
sunday november 29 1981,1981/11/29
tuesday june 28 1977,1977/6/28
wednesday october 11 1989,1989/10/11
wednesday september 21 2016,2016/9/21
10/27/03,2003/10/27
19 03 98,1998/3/19
5/26/09,2009/5/26
28-Jan-11,2011/1/28
31-Jan-92,1992/1/31
friday january 5 1990,1990/1/5
thursday july 13 1972,1972/7/13
monday october 6 1986,1986/10/6
8 05 11,2011/5/8
monday july 13 1998,1998/7/13
february 24 2009,2009/2/24
wednesday april 27 2011,2011/4/27
12-Feb-82,1982/2/12
friday october 3 2014,2014/10/3
09.02.82,1982/2/9
22-May-95,1995/5/22
26.01.74,1974/1/26
wednesday july 8 2015,2015/7/8
friday march 12 1999,1999/3/12
1/20/84,1984/1/20
monday june 26 2000,2000/6/26
wednesday august 26 1970,1970/8/26
10-Aug-95,1995/8/10
25 07 12,2012/7/25
monday april 26 2010,2010/4/26
21-Jul-05,2005/7/21
saturday may 16 2009,2009/5/16
15-Mar-89,1989/3/15
24-Oct-92,1992/10/24
monday september 6 1982,1982/9/6
25-Nov-96,1996/11/25
24-Dec-75,1975/12/24
monday september 26 1988,1988/9/26
friday may 13 1994,1994/5/13
4-Oct-86,1986/10/4
14.05.17,2017/5/14
5-Apr-05,2005/4/5
wednesday september 30 1981,1981/9/30
2003/9/16,2016/3/9
13 01 10,2010/1/13
2-Apr-94,1994/4/2
29-Aug-99,1999/8/29
february 13 1985,1985/2/13
29-Dec-71,1971/12/29
saturday november 27 1976,1976/11/27
4/25/17,2017/4/25
sunday march 10 1991,1991/3/10
monday april 5 1993,1993/4/5
friday october 24 1997,1997/10/24
saturday february 13 1982,1982/2/13
9-May-09,2009/5/9
thursday december 21 2000,2000/12/21
january 8 1990,1990/1/8
january 9 2008,2008/1/9
4/23/94,1994/4/23
8-Oct-04,2004/10/8
monday february 24 2003,2003/2/24
monday august 22 2011,2011/8/22
23-Jan-71,1971/1/23
march 28 1976,1976/3/28
jun 11 2014,2014/6/11
saturday january 21 2012,2012/1/21
friday october 28 1983,1983/10/28
thursday august 31 1978,1978/8/31
2010/3/5,2005/10/3
june 28 2013,2013/6/28
tuesday november 21 1972,1972/11/21
11 04 97,1997/4/11
december 6 1991,1991/12/6
march 27 1997,1997/3/27
15.02.01,2001/2/15
27-Apr-87,1987/4/27
friday april 26 2013,2013/4/26
2-Jun-09,2009/6/2
21-Feb-15,2015/2/21
24-Jul-98,1998/7/24
28-Oct-86,1986/10/28
monday january 14 2013,2013/1/14
5-Nov-93,1993/11/5
december 24 1999,1999/12/24
thursday july 19 2007,2007/7/19
thursday january 21 1982,1982/1/21
thursday august 29 1985,1985/8/29
march 30 1970,1970/3/30
thursday november 11 1976,1976/11/11
tuesday september 4 2012,2012/9/4
feb 21 2016,2016/2/21
14-Aug-16,2016/8/14
9/17/16,2016/9/17
june 7 2015,2015/6/7
october 23 1975,1975/10/23
4-Feb-72,1972/2/4
jul 10 2012,2012/7/10
saturday december 25 1982,1982/12/25
sunday october 21 1984,1984/10/21
sunday october 7 1984,1984/10/7
january 14 2015,2015/1/14
jun 25 2017,2017/6/25
sunday september 2 1979,1979/9/2
23-Jul-92,1992/7/23
oct 11 2002,2002/10/11
29-Nov-85,1985/11/29
august 28 1978,1978/8/28
october 18 2014,2014/10/18
thursday may 29 1975,1975/5/29
monday june 13 1994,1994/6/13
sunday may 17 2009,2009/5/17
wednesday april 25 1973,1973/4/25
thursday august 16 1984,1984/8/16
18 01 84,1984/1/18
monday november 18 1991,1991/11/18
wednesday december 24 1997,1997/12/24
6-Apr-77,1977/4/6
17-Jan-72,1972/1/17
thursday march 29 1984,1984/3/29
jun 17 2014,2014/6/17
wednesday march 1 2017,2017/3/1
20-Nov-94,1994/11/20
tuesday october 27 2009,2009/10/27
3-Jul-90,1990/7/3
tuesday february 20 1990,1990/2/20
18-Apr-00,2000/4/18
apr 7 1978,1978/4/7
monday february 11 2002,2002/2/11
4/18/97,1997/4/18
wednesday august 7 1991,1991/8/7
saturday january 1 1972,1972/1/1
saturday may 14 2011,2011/5/14
17 12 97,1997/12/17
friday november 4 2011,2011/11/4
thursday september 7 1995,1995/9/7
monday march 21 1994,1994/3/21
10.06.93,1993/6/10
18.09.92,1992/9/18
sunday november 25 2012,2012/11/25
17-Sep-95,1995/9/17
20-May-06,2006/5/20
wednesday december 12 1979,1979/12/12
saturday december 16 2000,2000/12/16
thursday july 18 1996,1996/7/18
sunday december 15 2002,2002/12/15
thursday may 6 1976,1976/5/6
monday july 22 2002,2002/7/22
saturday september 13 1975,1975/9/13
november 27 1999,1999/11/27
sunday march 16 1980,1980/3/16
monday may 16 1988,1988/5/16
2 02 99,1999/2/2
tuesday june 14 1983,1983/6/14
december 2 1985,1985/12/2
may 25 2013,2013/5/25
19-May-08,2008/5/19
28.03.99,1999/3/28
saturday may 16 2009,2009/5/16
7/12/94,1994/7/12
18-Sep-95,1995/9/18
28-Oct-77,1977/10/28
tuesday july 21 1970,1970/7/21
29-Jun-04,2004/6/29
13-Feb-96,1996/2/13
15-Apr-87,1987/4/15
friday march 7 1980,1980/3/7
29-Oct-85,1985/10/29
8-Nov-02,2002/11/8
tuesday november 23 2010,2010/11/23
wednesday february 6 1974,1974/2/6
2001/10/10,2010/1/10
19-Oct-84,1984/10/19
monday july 12 1993,1993/7/12
saturday may 20 2017,2017/5/20
16-Feb-12,2012/2/16
22-May-16,2016/5/22
tuesday september 12 1995,1995/9/12
friday april 28 2006,2006/4/28
sep 9 1977,1977/9/9
12 02 92,1992/2/12
thursday july 16 1992,1992/7/16
1-Aug-01,2001/8/1
29-Aug-97,1997/8/29
tuesday june 29 1993,1993/6/29
2009/7/14,2014/9/7
14-Aug-17,2017/8/14
september 27 1996,1996/9/27
aug 15 1986,1986/8/15
thursday july 31 2008,2008/7/31
wednesday october 21 2009,2009/10/21
tuesday december 12 1972,1972/12/12
3-Mar-84,1984/3/3
wednesday october 8 1980,1980/10/8
friday april 16 1976,1976/4/16
31-Jul-86,1986/7/31
14-Apr-79,1979/4/14
17-Feb-99,1999/2/17
monday january 14 2008,2008/1/14
20-Mar-92,1992/3/20
2-Feb-83,1983/2/2
sunday october 26 1986,1986/10/26
jul 14 1998,1998/7/14
sep 17 2003,2003/9/17
thursday january 27 2000,2000/1/27
wednesday october 19 1988,1988/10/19
12-Mar-95,1995/3/12
december 19 1979,1979/12/19
14-Oct-91,1991/10/14
9-Jan-86,1986/1/9
december 23 1992,1992/12/23
17-Jul-14,2014/7/17
august 20 1994,1994/8/20
mar 10 1982,1982/3/10
25 10 79,1979/10/25
monday july 8 1985,1985/7/8
10-Oct-01,2001/10/10
saturday may 6 2000,2000/5/6
jun 29 1980,1980/6/29
wednesday december 25 1985,1985/12/25
sunday august 28 1977,1977/8/28
wednesday january 30 1980,1980/1/30
10.07.80,1980/7/10
wednesday february 26 2003,2003/2/26
9-Sep-90,1990/9/9
friday april 12 2013,2013/4/12
9/27/02,2002/9/27
tuesday december 2 1980,1980/12/2
wednesday september 28 1977,1977/9/28
thursday may 13 1976,1976/5/13
friday september 8 2000,2000/9/8
wednesday november 8 1989,1989/11/8
thursday april 30 1981,1981/4/30
2-Oct-82,1982/10/2
friday october 13 1978,1978/10/13
monday september 30 1974,1974/9/30
30.01.99,1999/1/30
13-Mar-09,2009/3/13
7-Nov-09,2009/11/7
saturday january 25 1986,1986/1/25
23-Dec-11,2011/12/23
9-Oct-73,1973/10/9
1/21/02,2002/1/21
september 21 2013,2013/9/21
10.08.82,1982/8/10
saturday june 27 1981,1981/6/27
sunday september 5 1993,1993/9/5
11.02.97,1997/2/11
sunday september 10 2000,2000/9/10
thursday june 26 2003,2003/6/26
december 22 1988,1988/12/22
18.07.17,2017/7/18
29-Mar-76,1976/3/29
26.03.74,1974/3/26
tuesday june 24 1980,1980/6/24
21-Mar-05,2005/3/21
thursday may 24 1973,1973/5/24
26-Aug-02,2002/8/26
29.05.90,1990/5/29
monday december 28 2015,2015/12/28
monday december 15 2014,2014/12/15
20.07.13,2013/7/20
9-Dec-17,2017/12/9
september 16 2002,2002/9/16
wednesday july 24 1985,1985/7/24
wednesday february 11 1998,1998/2/11
friday january 11 1985,1985/1/11
5-Dec-01,2001/12/5
thursday june 6 2002,2002/6/6
thursday february 25 1982,1982/2/25
7-Nov-17,2017/11/7
1-Aug-04,2004/8/1
thursday december 8 2011,2011/12/8
29-Jul-80,1980/7/29
monday november 14 2005,2005/11/14
14-Nov-97,1997/11/14
tuesday october 3 2006,2006/10/3
march 3 1987,1987/3/3
tuesday september 5 1995,1995/9/5
8-Jan-76,1976/1/8
saturday july 29 1972,1972/7/29
1-Aug-16,2016/8/1
12.02.94,1994/2/12
8/17/91,1991/8/17
monday september 15 2014,2014/9/15
2/14/16,2016/2/14
thursday november 29 1973,1973/11/29
23-Apr-17,2017/4/23
january 25 2009,2009/1/25
10-Oct-13,2013/10/10
18.09.78,1978/9/18
wednesday april 28 2010,2010/4/28
wednesday october 1 2003,2003/10/1
friday december 1 2017,2017/12/1
5-Oct-89,1989/10/5
may 24 2006,2006/5/24
11-Jul-78,1978/7/11
6/26/97,1997/6/26
tuesday may 27 2003,2003/5/27
2-Jun-11,2011/6/2
friday march 6 2015,2015/3/6
25.09.02,2002/9/25
saturday august 14 1982,1982/8/14
friday april 21 1972,1972/4/21
sunday september 17 1995,1995/9/17
21-Feb-04,2004/2/21
29-Jun-94,1994/6/29
13-Apr-07,2007/4/13
thursday september 24 1970,1970/9/24
october 10 1974,1974/10/10
february 20 2003,2003/2/20
friday september 12 1980,1980/9/12
april 18 1975,1975/4/18
11 03 17,2017/3/11
13-Apr-17,2017/4/13
wednesday september 7 2016,2016/9/7
tuesday december 5 2017,2017/12/5
apr 18 1998,1998/4/18
9-Apr-81,1981/4/9
1-May-84,1984/5/1
june 14 2002,2002/6/14
saturday february 20 1988,1988/2/20
friday april 16 1971,1971/4/16
november 8 2011,2011/11/8
april 1 2004,2004/4/1
tuesday february 7 1984,1984/2/7
18-Jun-85,1985/6/18
october 7 2016,2016/10/7
wednesday october 22 1997,1997/10/22
thursday april 9 2009,2009/4/9
13-Jul-87,1987/7/13
15-Apr-77,1977/4/15
feb 19 1991,1991/2/19
saturday february 23 2002,2002/2/23
6/15/08,2008/6/15
jan 17 1984,1984/1/17
friday may 3 2013,2013/5/3
jan 26 1989,1989/1/26
3/17/73,1973/3/17
14 02 03,2003/2/14
1/24/08,2008/1/24
23-Jul-02,2002/7/23
thursday february 24 1972,1972/2/24
wednesday december 9 1998,1998/12/9
april 15 1971,1971/4/15
october 5 2000,2000/10/5
saturday october 15 1994,1994/10/15
28-Jan-91,1991/1/28
wednesday september 21 1988,1988/9/21
26-Jun-79,1979/6/26
monday may 24 2010,2010/5/24
friday november 22 1985,1985/11/22
5-May-01,2001/5/5
wednesday january 11 2017,2017/1/11
september 25 1974,1974/9/25
dec 24 1983,1983/12/24
11-Aug-81,1981/8/11
tuesday december 15 1987,1987/12/15
sunday april 14 1996,1996/4/14
october 9 2015,2015/10/9
tuesday august 19 1975,1975/8/19
4/22/96,1996/4/22
15-Aug-15,2015/8/15
october 26 2008,2008/10/26
jan 18 1986,1986/1/18
31 10 90,1990/10/31
5-Sep-99,1999/9/5
22-Jul-02,2002/7/22
tuesday april 12 1977,1977/4/12
january 20 2002,2002/1/20
sunday january 5 2003,2003/1/5
wednesday june 11 2014,2014/6/11
13-Apr-74,1974/4/13
friday february 9 1973,1973/2/9
tuesday september 29 1981,1981/9/29
15-Jan-00,2000/1/15
august 4 1985,1985/8/4
wednesday april 24 2002,2002/4/24
march 1 1993,1993/3/1
7-Mar-92,1992/3/7
2 02 10,2010/2/2
thursday june 24 1993,1993/6/24
thursday november 19 1992,1992/11/19
23.01.71,1971/1/23
wednesday january 10 2001,2001/1/10
wednesday march 7 2007,2007/3/7
tuesday april 22 1980,1980/4/22
18-Aug-96,1996/8/18
9-Dec-77,1977/12/9
wednesday september 29 2004,2004/9/29
thursday march 9 1995,1995/3/9
7/26/84,1984/7/26
december 31 1987,1987/12/31
sunday december 9 2007,2007/12/9
21.05.90,1990/5/21
thursday january 5 1978,1978/1/5
sunday october 12 1975,1975/10/12
friday march 14 1980,1980/3/14
monday march 23 1970,1970/3/23
23 12 76,1976/12/23
december 25 1998,1998/12/25
tuesday february 24 1981,1981/2/24
thursday august 4 2005,2005/8/4
friday january 25 2013,2013/1/25
thursday november 9 2017,2017/11/9
saturday december 13 2003,2003/12/13
15-Aug-97,1997/8/15
29-May-06,2006/5/29
tuesday february 4 1975,1975/2/4
april 16 1976,1976/4/16
3/7/87,1987/3/7
saturday october 30 1976,1976/10/30
29 09 00,2000/9/29
saturday september 26 1992,1992/9/26
18.06.03,2003/6/18
may 7 2004,2004/5/7
april 22 2006,2006/4/22
nov 16 1995,1995/11/16
december 9 2015,2015/12/9
sunday august 12 1990,1990/8/12
wednesday july 24 2013,2013/7/24
22-May-71,1971/5/22
saturday may 21 1994,1994/5/21
5-Feb-16,2016/2/5
friday june 19 1970,1970/6/19
16 09 11,2011/9/16
sunday march 27 1988,1988/3/27
2-Dec-71,1971/12/2
thursday january 31 2013,2013/1/31
tuesday may 3 1988,1988/5/3
19-May-86,1986/5/19
thursday january 10 2008,2008/1/10
february 9 2002,2002/2/9
6-Oct-09,2009/10/6
14-Oct-82,1982/10/14
sunday december 7 2014,2014/12/7
4/9/87,1987/4/9
16-May-96,1996/5/16
28-Sep-92,1992/9/28
1-Nov-01,2001/11/1
friday july 8 1988,1988/7/8
14 07 08,2008/7/14
saturday october 23 1993,1993/10/23
9/22/75,1975/9/22
6-Feb-13,2013/2/6
friday november 28 1997,1997/11/28
29.11.87,1987/11/29
monday september 6 1993,1993/9/6
7 05 90,1990/5/7
thursday march 3 2005,2005/3/3
31-Dec-07,2007/12/31
sunday january 22 2017,2017/1/22
friday february 17 1989,1989/2/17
feb 18 1992,1992/2/18
saturday january 27 1996,1996/1/27
july 19 2003,2003/7/19
26.10.88,1988/10/26
31.07.74,1974/7/31
wednesday july 11 1984,1984/7/11
august 14 2001,2001/8/14
jul 2 2005,2005/7/2
24-May-80,1980/5/24
saturday december 4 2004,2004/12/4
17-Apr-07,2007/4/17
2-Feb-84,1984/2/2
22-Jul-05,2005/7/22
thursday november 8 2012,2012/11/8
friday october 23 1987,1987/10/23
saturday february 21 1987,1987/2/21
12-Feb-92,1992/2/12
17-Apr-93,1993/4/17
sunday november 8 1970,1970/11/8
sunday november 1 1987,1987/11/1
20-Aug-97,1997/8/20
monday may 14 2012,2012/5/14
thursday january 28 1982,1982/1/28
sunday february 8 1987,1987/2/8
31-Mar-71,1971/3/31
15-Jun-97,1997/6/15
tuesday november 6 1973,1973/11/6
friday december 21 2001,2001/12/21
5-Oct-77,1977/10/5
saturday january 31 1970,1970/1/31
2/3/83,1983/2/3
wednesday may 26 2010,2010/5/26
thursday april 22 2010,2010/4/22
november 1 1996,1996/11/1
sunday march 27 2005,2005/3/27
friday january 25 1980,1980/1/25
thursday february 8 1979,1979/2/8
wednesday february 17 1993,1993/2/17
24-Nov-85,1985/11/24
8-Sep-00,2000/9/8
25-Jun-97,1997/6/25
monday may 26 1980,1980/5/26
thursday september 10 1970,1970/9/10
monday november 17 1980,1980/11/17
25-Apr-75,1975/4/25
jul 12 1998,1998/7/12
thursday june 16 1994,1994/6/16
february 10 2008,2008/2/10
thursday april 7 2016,2016/4/7
monday october 4 1971,1971/10/4
21-Feb-96,1996/2/21
wednesday march 29 2000,2000/3/29
18-Mar-01,2001/3/18
1-Jun-13,2013/6/1
19.12.82,1982/12/19
sunday december 30 1984,1984/12/30
tuesday march 14 2006,2006/3/14
wednesday february 12 1992,1992/2/12
2-Dec-11,2011/12/2
november 27 1992,1992/11/27
friday september 18 1981,1981/9/18
sunday september 26 1971,1971/9/26
21-Jan-14,2014/1/21
saturday september 2 2017,2017/9/2
sunday march 18 1979,1979/3/18
thursday october 28 1999,1999/10/28
february 6 1998,1998/2/6
wednesday june 6 1984,1984/6/6
sunday march 21 1971,1971/3/21
15-Jan-90,1990/1/15
monday november 5 1979,1979/11/5
1-Nov-75,1975/11/1
14.10.04,2004/10/14
15-Aug-77,1977/8/15
sunday november 2 1975,1975/11/2
19-Jun-84,1984/6/19
jun 15 1977,1977/6/15
monday march 1 1999,1999/3/1
june 15 2017,2017/6/15
27 06 92,1992/6/27
mar 2 1978,1978/3/2
saturday april 5 2008,2008/4/5
thursday january 5 2017,2017/1/5
wednesday august 19 1998,1998/8/19
6-Jan-06,2006/1/6
23.05.73,1973/5/23
26-Jan-13,2013/1/26
friday april 3 1981,1981/4/3
sunday october 17 1999,1999/10/17
3-Mar-86,1986/3/3
sunday january 31 2010,2010/1/31
sunday december 9 1979,1979/12/9
07.09.15,2015/9/7
14.02.81,1981/2/14
august 6 2007,2007/8/6
10-Feb-11,2011/2/10
20 10 72,1972/10/20
sunday january 5 1986,1986/1/5
19 11 77,1977/11/19
5-Aug-92,1992/8/5
friday october 29 2004,2004/10/29
12 07 88,1988/7/12
aug 19 1981,1981/8/19
thursday january 28 1988,1988/1/28
apr 30 2012,2012/4/30
10-Dec-80,1980/12/10
20-Oct-79,1979/10/20
15-Sep-90,1990/9/15
20-Aug-76,1976/8/20
thursday september 7 1989,1989/9/7
monday september 10 2007,2007/9/10
thursday march 2 1995,1995/3/2
11-Jul-01,2001/7/11
saturday march 4 1978,1978/3/4
28-Aug-74,1974/8/28
wednesday april 15 1987,1987/4/15
dec 25 2006,2006/12/25
16-Nov-81,1981/11/16
11-Feb-18,2018/2/11
wednesday august 10 1988,1988/8/10
thursday march 13 2014,2014/3/13
thursday march 15 2007,2007/3/15
sunday september 4 2011,2011/9/4
september 8 1996,1996/9/8
tuesday april 7 1987,1987/4/7
25-Mar-89,1989/3/25
may 4 1977,1977/5/4
may 6 1978,1978/5/6
thursday january 15 1970,1970/1/15
14 11 15,2015/11/14
19-Aug-09,2009/8/19
sep 30 2014,2014/9/30
1-Aug-81,1981/8/1
monday september 16 1985,1985/9/16
friday july 10 1987,1987/7/10
thursday february 24 1972,1972/2/24
10/24/08,2008/10/24
sunday august 17 2003,2003/8/17
saturday december 29 2012,2012/12/29
friday june 15 2001,2001/6/15
22-Apr-70,1970/4/22
30-Jan-87,1987/1/30
2/26/01,2001/2/26
wednesday july 11 1973,1973/7/11
30-Jul-73,1973/7/30
saturday september 6 1975,1975/9/6
friday december 29 1995,1995/12/29
saturday august 21 1971,1971/8/21
tuesday february 28 1984,1984/2/28
wednesday january 26 2000,2000/1/26
friday november 6 1987,1987/11/6
thursday february 9 2006,2006/2/9
31-Mar-86,1986/3/31
monday may 19 1980,1980/5/19
august 10 2009,2009/8/10
monday september 14 1970,1970/9/14
sunday may 11 1997,1997/5/11
friday may 29 1981,1981/5/29
tuesday february 24 1998,1998/2/24
july 9 2017,2017/7/9
5/24/02,2002/5/24
dec 7 2007,2007/12/7
14-Sep-84,1984/9/14
saturday april 4 1998,1998/4/4
sunday october 13 1985,1985/10/13
july 19 2002,2002/7/19
24.07.88,1988/7/24
19-Jul-93,1993/7/19
11-Aug-83,1983/8/11
27-Mar-17,2017/3/27
4-Apr-91,1991/4/4
tuesday october 16 2007,2007/10/16
18-Mar-14,2014/3/18
sunday august 9 1981,1981/8/9
17-Apr-03,2003/4/17
22-Jul-04,2004/7/22
18-Oct-09,2009/10/18
saturday june 2 1990,1990/6/2
24-Nov-78,1978/11/24
22-Mar-79,1979/3/22
oct 29 1970,1970/10/29
27.10.07,2007/10/27
wednesday february 23 1972,1972/2/23
jun 26 2016,2016/6/26
thursday january 28 1999,1999/1/28
8-Jan-06,2006/1/8
friday february 23 1996,1996/2/23
saturday november 11 2006,2006/11/11
monday november 5 1990,1990/11/5
23-May-89,1989/5/23
october 23 1974,1974/10/23
friday march 31 1972,1972/3/31
monday january 31 1977,1977/1/31
tuesday march 20 2001,2001/3/20
24.02.89,1989/2/24
february 21 1989,1989/2/21
13 02 93,1993/2/13
september 9 2015,2015/9/9
18-Nov-78,1978/11/18
sunday july 1 1979,1979/7/1
friday september 9 1983,1983/9/9
22 07 14,2014/7/22
october 7 1994,1994/10/7
8-May-15,2015/5/8
15.05.81,1981/5/15
7-Sep-86,1986/9/7
tuesday february 1 2000,2000/2/1
march 8 2014,2014/3/8
17 12 94,1994/12/17
monday july 24 1972,1972/7/24
friday march 10 1995,1995/3/10
friday august 31 1973,1973/8/31
3/1/87,1987/3/1
saturday march 16 2013,2013/3/16
saturday august 30 2014,2014/8/30
friday december 9 1977,1977/12/9
wednesday march 26 2003,2003/3/26
wednesday february 22 1984,1984/2/22
1-Dec-88,1988/12/1
28-Nov-83,1983/11/28
18-Dec-92,1992/12/18
22-Aug-90,1990/8/22
wednesday september 28 2005,2005/9/28
19 07 07,2007/7/19
friday july 26 1991,1991/7/26
5-Jun-10,2010/6/5
2-Dec-95,1995/12/2
13-Jun-01,2001/6/13
7-Feb-96,1996/2/7
tuesday february 9 1982,1982/2/9
tuesday march 15 1988,1988/3/15
tuesday november 3 1987,1987/11/3
friday february 16 1990,1990/2/16
10-Jan-84,1984/1/10
sunday may 14 2006,2006/5/14
october 21 1996,1996/10/21
tuesday june 23 1970,1970/6/23
sunday august 11 2013,2013/8/11
wednesday february 21 2001,2001/2/21
sep 8 1983,1983/9/8
january 26 1981,1981/1/26
jan 24 2015,2015/1/24
sunday december 17 1989,1989/12/17
wednesday september 22 2010,2010/9/22
12-May-74,1974/5/12
march 17 1979,1979/3/17
monday june 27 1977,1977/6/27
december 3 2013,2013/12/3
monday july 5 1993,1993/7/5
29-Oct-86,1986/10/29
thursday november 26 1998,1998/11/26
24-Jan-85,1985/1/24
december 1 2011,2011/12/1
friday august 8 2014,2014/8/8
15-Nov-10,2010/11/15
wednesday august 10 1983,1983/8/10
15-Jun-02,2002/6/15
february 26 1974,1974/2/26
24-Nov-12,2012/11/24
august 24 2007,2007/8/24
october 23 2010,2010/10/23
13-Apr-84,1984/4/13
march 30 1983,1983/3/30
14-Jun-16,2016/6/14
25-Nov-82,1982/11/25
19-Jun-81,1981/6/19
26-Aug-89,1989/8/26
saturday april 28 2012,2012/4/28
wednesday june 4 1997,1997/6/4
july 3 1970,1970/7/3
16-Dec-80,1980/12/16
13-Oct-13,2013/10/13
monday august 11 1997,1997/8/11
4-Nov-01,2001/11/4
29-Mar-82,1982/3/29
monday may 4 2015,2015/5/4
tuesday july 16 1985,1985/7/16
10/30/85,1985/10/30
june 7 1999,1999/6/7
friday january 4 1985,1985/1/4
saturday august 5 2000,2000/8/5
wednesday september 20 1989,1989/9/20
wednesday december 18 1991,1991/12/18
sunday february 19 2012,2012/2/19
01.06.04,2004/6/1
8-Dec-16,2016/12/8
thursday april 19 2012,2012/4/19
17-Jan-74,1974/1/17
saturday september 3 2011,2011/9/3
9/14/16,2016/9/14
wednesday april 1 2015,2015/4/1
monday february 25 1974,1974/2/25
thursday april 1 1999,1999/4/1
tuesday september 20 1994,1994/9/20
saturday august 28 1999,1999/8/28
saturday july 5 1980,1980/7/5
17-Apr-15,2015/4/17
wednesday july 12 1978,1978/7/12
october 2 1977,1977/10/2
september 24 2015,2015/9/24
17.11.89,1989/11/17
21-Jun-09,2009/6/21
25-Apr-88,1988/4/25
tuesday january 20 2009,2009/1/20
friday may 11 2012,2012/5/11
wednesday may 30 2012,2012/5/30
may 9 1976,1976/5/9
july 12 1984,1984/7/12
sunday october 31 2010,2010/10/31
july 5 1983,1983/7/5
4-Jan-09,2009/1/4
wednesday may 30 1979,1979/5/30
thursday october 4 2012,2012/10/4
february 3 2018,2018/2/3
6-Jan-95,1995/1/6
8 08 99,1999/8/8
nov 4 1975,1975/11/4
11-Jan-04,2004/1/11
sunday february 25 2001,2001/2/25
2-Jul-12,2012/7/2
01.09.72,1972/9/1
sunday march 24 1991,1991/3/24
september 1 2003,2003/9/1
july 30 2016,2016/7/30
22-Sep-09,2009/9/22
1/28/00,2000/1/28
sunday december 4 2011,2011/12/4
6-Feb-11,2011/2/6
monday june 7 1993,1993/6/7
25-Jun-14,2014/6/25
27-Jun-75,1975/6/27
6-Sep-85,1985/9/6
january 31 1979,1979/1/31
11-Jul-86,1986/7/11
27.07.94,1994/7/27
monday august 27 1973,1973/8/27
11-Feb-84,1984/2/11
july 2 2008,2008/7/2
monday august 31 1987,1987/8/31
tuesday july 23 2013,2013/7/23
17-Nov-73,1973/11/17
monday august 3 2009,2009/8/3
thursday april 20 2006,2006/4/20
sunday december 30 1990,1990/12/30
tuesday june 7 2005,2005/6/7
10-Mar-09,2009/3/10
sunday april 9 1978,1978/4/9
september 8 2005,2005/9/8
tuesday april 22 1986,1986/4/22
friday october 8 1993,1993/10/8
thursday april 11 1996,1996/4/11
wednesday may 27 1981,1981/5/27
15-Feb-03,2003/2/15
monday january 4 2010,2010/1/4
6/6/99,1999/6/6
sunday march 23 1997,1997/3/23
thursday december 13 2007,2007/12/13
monday july 25 2005,2005/7/25
10-Dec-97,1997/12/10
august 29 1997,1997/8/29
jul 6 2011,2011/7/6
july 24 1994,1994/7/24
december 26 1976,1976/12/26
tuesday may 6 1980,1980/5/6
13-Apr-12,2012/4/13
10/10/76,1976/10/10
24-Aug-82,1982/8/24
8/9/86,1986/8/9
friday january 8 1993,1993/1/8
thursday july 18 1991,1991/7/18
sunday november 30 1975,1975/11/30
saturday may 20 1989,1989/5/20
tuesday november 28 1989,1989/11/28
30-Oct-05,2005/10/30
29 11 95,1995/11/29
1-Mar-16,2016/3/1
